Subject,Session,Trial,GainLoss,Information,RT,Confidence,Correct,Project
1,1,1,-1,1,530,0.55,1,1
2,1,1,-1,1,861,0.5,1,1
3,1,1,-1,1,400,0.5,0,1
4,1,1,-1,1,584,0.85,0,1
5,1,1,-1,1,527,0.5,0,1
6,1,1,-1,1,907,0.5,1,1
7,1,1,-1,1,369,0.5,1,1
8,1,1,-1,1,543,0.7,0,1
9,1,1,-1,1,601,0.5,0,1
10,1,1,-1,1,497,0.55,0,1
11,1,1,-1,1,433,0.65,1,1
12,1,1,-1,1,433,0.5,1,1
13,1,1,-1,1,2576,0.7,1,-1
14,1,1,-1,1,2750,0.5,0,-1
15,1,1,-1,1,2701,0.5,0,-1
16,1,1,-1,1,2827,0.7,0,-1
17,1,1,-1,1,707,0.75,0,-1
18,1,1,-1,1,1423,0.85,1,-1
19,1,1,-1,1,1538,0.6,1,-1
20,1,1,-1,1,NaN,0.6,NaN,-1
21,1,1,-1,1,1512,0.5,1,-1
22,1,1,-1,1,1217,0.5,1,-1
23,1,1,-1,1,2395,0.5,1,-1
24,1,1,-1,1,592,0.8,0,-1
25,1,1,-1,1,1805,0.5,0,-1
26,1,1,-1,1,2952,0.5,0,-1
27,1,1,-1,1,2025,0.5,0,-1
28,1,1,-1,1,NaN,0.5,NaN,-1
29,1,1,-1,1,511,0.5,1,-1
30,1,1,-1,1,1094,0.65,1,-1
1,2,1,-1,1,378,0.55,1,1
2,2,1,-1,1,710,0.5,0,1
3,2,1,-1,1,503,0.5,0,1
4,2,1,-1,1,462,0.55,0,1
5,2,1,-1,1,763,0.5,1,1
6,2,1,-1,1,492,0.75,1,1
7,2,1,-1,1,551,0.5,1,1
8,2,1,-1,1,473,0.65,0,1
9,2,1,-1,1,573,0.5,0,1
10,2,1,-1,1,670,0.5,1,1
11,2,1,-1,1,526,0.8,1,1
12,2,1,-1,1,624,0.5,1,1
13,2,1,-1,1,2399,0.5,1,-1
14,2,1,-1,1,851,0.5,0,-1
15,2,1,-1,1,1886,0.5,1,-1
16,2,1,-1,1,2857,0.65,0,-1
17,2,1,-1,1,1479,0.85,0,-1
18,2,1,-1,1,1386,0.65,1,-1
19,2,1,-1,1,1614,0.7,0,-1
20,2,1,-1,1,898,0.7,1,-1
21,2,1,-1,1,959,0.5,0,-1
22,2,1,-1,1,1894,0.5,0,-1
23,2,1,-1,1,1350,0.5,0,-1
24,2,1,-1,1,1087,0.5,0,-1
25,2,1,-1,1,2211,0.5,0,-1
26,2,1,-1,1,1853,0.5,1,-1
27,2,1,-1,1,1359,0.5,0,-1
28,2,1,-1,1,1420,0.5,0,-1
29,2,1,-1,1,1029,0.5,0,-1
30,2,1,-1,1,953,0.85,0,-1
1,3,1,-1,1,398,0.5,1,1
2,3,1,-1,1,651,0.5,1,1
3,3,1,-1,1,387,0.5,0,1
4,3,1,-1,1,480,0.5,1,1
5,3,1,-1,1,507,0.5,1,1
6,3,1,-1,1,349,0.6,1,1
7,3,1,-1,1,579,0.5,1,1
8,3,1,-1,1,665,0.9,1,1
9,3,1,-1,1,469,0.5,1,1
10,3,1,-1,1,853,0.5,1,1
11,3,1,-1,1,601,0.9,1,1
12,3,1,-1,1,436,0.5,1,1
13,3,1,-1,1,1362,0.5,0,-1
14,3,1,-1,1,852,0.5,1,-1
15,3,1,-1,1,1725,0.5,1,-1
16,3,1,-1,1,2187,0.6,0,-1
17,3,1,-1,1,1533,0.6,0,-1
18,3,1,-1,1,1044,0.6,1,-1
19,3,1,-1,1,1351,0.75,0,-1
20,3,1,-1,1,1039,0.8,0,-1
21,3,1,-1,1,652,0.5,0,-1
22,3,1,-1,1,1542,0.5,0,-1
23,3,1,-1,1,2074,0.5,1,-1
24,3,1,-1,1,902,0.5,0,-1
25,3,1,-1,1,1576,0.5,1,-1
26,3,1,-1,1,1542,0.5,1,-1
27,3,1,-1,1,982,0.7,1,-1
28,3,1,-1,1,1877,0.5,1,-1
29,3,1,-1,1,1473,0.7,1,-1
30,3,1,-1,1,1228,0.9,1,-1
1,1,1,-1,-1,NaN,0.5,NaN,1
2,1,1,-1,-1,743,0.5,0,1
3,1,1,-1,-1,597,0.5,0,1
4,1,1,-1,-1,508,0.75,0,1
5,1,1,-1,-1,728,0.65,0,1
6,1,1,-1,-1,633,0.5,0,1
7,1,1,-1,-1,492,0.5,0,1
8,1,1,-1,-1,588,0.75,1,1
9,1,1,-1,-1,586,0.5,1,1
10,1,1,-1,-1,608,0.65,1,1
11,1,1,-1,-1,831,0.8,0,1
